person_name,Time,Comments,Language
ACHATTOP,5 months ago on,ram janm bhoomi,en
AmitYadav007,6 months ago on,dont miss spot,en
Girishkumarrao,3 months ago on,lord rama birthplace,en
noLimit4mk,an hour ago on,jai shree ram,en
Profvns,5 months ago on,jai shree ram,en
TarakshGomes,4 months ago on,historical place,en
kalyan4595,4 months ago on,shri ram janmbhoomi site must visit,en
shree g,2 months ago on,shri ram chandra ji darshan,en
anaghagarwal,4 months ago on,visited grandmother grandfather,en
ACHATTOP,2 months ago on,jai shri ram,en
Nsrrbw I,6 months ago on,security check place awkward,en
Ashokcmehta,2 weeks ago on,ram janambhoomi,en
Abhishek S,a week ago on,must visit place,en
Abhishek S,5 months ago on,must visit place,en
Ayush A,4 weeks ago on,historical place much see,en
S_K,2 months ago on,shri ram,en
Ajay A,5 months ago on,must visit place ayodhya,en
ansangam,2 weeks ago on,god high security,en
Santosh,4 months ago on,jai shree ram,en
hemant20278,5 months ago on,inter nation famous ramjanami bhumi famous world,en
venkatveg,2 months ago on,must must visit,en
Nikhil,6 months ago on,heart ache see holy place manner,en
prasan,4 months ago on,temporary temple,en
KamalaSeshadri,4 days ago on,must see,en
sudhir k,5 months ago on,camp shri ram janma bhoomi,en
Gaurav Kaushik,3 months ago on,high deployement security personels,en
serge p,2 months ago on,nothing see,en
serge p,a month ago on,avoid place,en
Mithlesh1989,5 months ago on,holi great,en
DV_deshpande,2 months ago on,shri ram janma bhoomi birth place lord ram visit,en
Manish B,5 months ago on,birth place lord ram,en
Hardik_Agg,4 months ago on,mesmerizing experience,en
RVGIYER,4 months ago on,sri rama lord hanuman temple ayodhya,en
sujatapant,5 months ago on,sentimental value,en
Abhay saxena,5 months ago on,great experience,en
srnayak,a month ago on,amazing shri ram idol,en
Mukulfaiz,a month ago on,heavily guarded,en
Akash7771,2 weeks ago on,jai shri ram,en
Ananth P,7 months ago on,temple surrounded armed guard,en
Vijaypsingh81,3 months ago on,amazingworth walking tight security,en
swarnaprabha k,4 months ago on,sri ram idol tent,en
Krishna Kumar S,a month ago on,miss hr drive lucknow car plan full day tour,en
cyberconda,3 months ago on,amazing experience,en
Narendra Rai,a week ago on,image real,en
himanish,2 months ago on,feel purity around,en
venkatesha K,a day ago on,sri ramamandir,en
roshniSA,a week ago on,worth visit,en
Manish B,6 months ago on,river bank,en
Anand U,3 months ago on,high security temple,en
ANMahusudan,2 months ago on,height faith majority hindu community sad state temple disputed one,en
GuptaMK,5 months ago on,emotional place see ram janam bhumi,en
anonymus688,4 months ago on,must,en
vaida17,a month ago on,heavily protected national security people,en
Neerajdangi15,a month ago on,ramjanmbhoomi,en
Anuragme,4 months ago on,spiritually energetic birth place lord ram,en
ACHATTOP,2 weeks ago on,sri ram janamboomi visit ayodhya,en
AmitYadav007,4 months ago on,significant place,en
Girishkumarrao,5 months ago on,awesome trip ram janam bhumi boating saryu river,en
noLimit4mk,a month ago on,raam mandir,en
Profvns,2 months ago on,lord shri ram janma bhoomi,en
TarakshGomes,a month ago on,place interest ayodhya,en
Dinesh Rathod,5 months ago on,birthplace ram,en
kalyan4595,5 months ago on,must see place,en
shree g,4 months ago on,great feeling,en
anaghagarwal,5 months ago on,ram janma bhoomi birth place lord rama,en
ACHATTOP,5 months ago on,sri ram janamboomi visit ayodhya,en
AmitYadav007,9 months ago on,significant place,en
Girishkumarrao,5 months ago on,awesome trip ram janam bhumi boating saryu river,en
noLimit4mk,6 months ago on,raam mandir,en
Profvns,5 months ago on,lord shri ram janma bhoomi,en
TarakshGomes,5 months ago on,place interest ayodhya,en
Dinesh Rathod,8 months ago on,birthplace ram,en
kalyan4595,7 months ago on,must see place,en
shree g,6 months ago on,great feeling,en
anaghagarwal,6 months ago on,ram janma bhoomi birth place lord rama,en
KASI VENKOBA RAO,5 months ago on,sri ram janma bhoomisacred secured,en
RavineshD,5 months ago on,visit ayodhya,en
Aalok S,6 months ago on,good place visit tourist,en
Prajyot,5 months ago on,janma bhoomi,en
devendra kumar s,5 months ago on,unchanging ayodhya,en
ash_sh,5 months ago on,modi ji remembered thousand year great work,en
ash_sh,3 months ago on,one hand nehru tried best put lord ram oblivion ever pm modi done everything completely nullify neutralize nehru misdeed congress agent garb bhagwa clothes hyper active stop ram temple bjp alone fought decade therefore bjp every right make agenda,en
jagdalpuri,5 months ago on,three legend one frame,en
yashshiningstar,5 months ago on,great pm great bharat,en
Sid66686945,6 months ago on,one hand nehru tried best put lord ram oblivion ever pm modi done everything completely nullify neutralize nehru misdeed congress agent garb bhagwa clothes hyper active stop ram temple bjp alone fought decade therefore bjp every right make agenda,en
iamranjitsanyal,4 months ago on,three legend one frame,en
MahakalMessi,4 months ago on,great pm great bharat,en
MahakalMessi,5 months ago on,darshan shri ram janma bhoomi,en
